user_id,text
62112361,"Qualification: State of Florida (Class D) Security License Training Certificate/Card. CPR certification and first-aid training.

Experience: Less than 1 year.
Full time

Apply before June 27, 2021.

#NintendoDirect 
Glasnow
Xavien Howard
#SAFEMOONWALLET 
Jon Stewart"
32888689,"#abstract work in progress 3️⃣👌🏾🔥🔥
.
.
#abstractart #rothko #kahlo #franzkline #art #amc #bachelorette  #cryptoart #nft #NintendoDirect #BlackArtist #fashion #eth #HarryStyles #painting #tattoo #ArtistOnTwitter #BlackTechTwitter #BlackOutBTS #EnoughIsEnough #EURO2020  #Patrick https://t.co/OoQt2wtol2"
1215319618350469122,"SNAPTAIN S5C WiFi FPV Drone with 2K Camera,Voice Control, Wide-Angle Live Video RC Quadcopter with Altitude Hold, Gravity Sensor Function, RTF One Key Take Off/Landing, Compatible w/VR Hea ,buy now👇

https://t.co/aEpGSmZKhs 
#FRAGER 
#NintendoDirect 
#KevinHart 
#HUNPOR 
#drones https://t.co/QXAv9h25iS"
1215319618350469122,"Oculus Quest 2 — Advanced All-In-One Virtual Reality Headset — 64 GB ,buy now 👇
https://t.co/sj2jEBH3aH 
#FRAGER 
#NintendoDirect 
#KevinHart 
#Walgreens 
#ronaldonazarioculpable 
#HUNPOR 
#MacKenzieScott 
#AshliBabbitt 
#BudLightStimmyTix https://t.co/uIVgah6ZWo"
1215319618350469122,"Wow beautiful ❤️
#FRAGER 
#NintendoDirect 
#KevinHart 
#Walgreens 
#Ronaldoday 
#HUNPOR 
#MacKenzieScott 
#AshliBabbitt
#BudLightStimmyTix https://t.co/c84Y1UpLKy https://t.co/TKVRuCRv9j"
106182574,@ThePickuI Probably all the #Windows11 and #NintendoDirect spam.
106182574,"@johnblueriggs  Did someone say new #Zelda game? 
https://t.co/wApBoIDYsV

#E3 #E32021 #BOTW2 #NINTENDO #NINTENDODIRECT"
106182574,#E32021 #E3 #NintendoDirect #TekkenSmash #Tekken #SmashUltimate #Nintendo https://t.co/FUn0NPHves
716091149019164672,Kazuya was really ending lives out here. #NintendoDirect #NintendoE3
26469931,Strange Brigade is launching on Nintendo Switch later today https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Danganronpa: Decadence Brings Four Murder-Mayhem Games To Switch Later This Year https://t.co/61BliuTTDQ #NintendoSwitch #UpcomingReleases #Danganronpa #E32021 #NintendoDirect https://t.co/J8fYnKfugL
26469931,"New Breath Of The Wild 2 Footage Shown, Aiming For A 2022 Release https://t.co/9tHPngTIxa #NintendoSwitch #UpcomingReleases #Zelda #E3 #NintendoDirect https://t.co/EN7hWmMkBt"
26469931,The Legend of Zelda: Breath of the Wild's sequel is launching 2022 https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Advance Wars! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Marvel's Guardians Of The Galaxy Confirmed For Switch https://t.co/ZYXr8s78KZ #E3 #E32021 #NintendoSwitch #NintendoDirect https://t.co/XRGizF6wgg
26469931,Super Monkey Ball: Banana Mania Is Rolling Onto Switch https://t.co/xnHeZw2PFi #E3 #E32021 #MonkeyBall #NintendoSwitch #NintendoDirect https://t.co/q4hR5OM6C8
26469931,Nintendo Treehouse time! Currently introducing Metroid 5: Dread! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,WarioWare: Get It Together! is now being shown https://t.co/LywfpDvvX0 #NintendoDirect
26469931,"A look at the Metroid Dread Special Edition, it's rather nice https://t.co/LywfpDvvX0 #NintendoDirect"
26469931,Shin Megami Tensei V Is A Switch Exclusive Launching This November https://t.co/PXngdcY64x #NintendoSwitch #UpcomingReleases #ShinMegamiTensei #NintendoDirect #E32021 https://t.co/J0t09CkfoB
26469931,WarioWare: Get It Together! comes to Nintendo Switch 10th September https://t.co/LywfpDvvX0 #NintendoDirect
26469931,"Metroid 5 Is Coming To Switch, And It's 2D https://t.co/NO7l87vbfH #Metroid #NintendoSwitch #UpcomingReleases #NintendoDirect #E32021 https://t.co/znfn0drKNt"
26469931,Danganronpa Decadence launches later this year on Switch https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Shin Megami Tensei V is next up on Treehouse! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,DOOM Eternal's first DLC pack is launching on Switch later today https://t.co/LywfpDvvX0 #NintendoDirect
26469931,That's all from the Treehouse stream! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Dragon Ball Z Kakarot is coming to Nintendo Switch 24th September https://t.co/LywfpDvvX0 #NintendoDirect
26469931,And it's coming 12th November! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,We're finally getting a look at Zelda: Breath of the Wild's sequel... https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Roundup: Here's What Was Revealed In Nintendo Direct E3 2021 https://t.co/8j14Karvqz #NintendoDirect #E3 #E32021 #NintendoSwitch https://t.co/rcKhcnoGq7
26469931,Advance Wars 1+2 Re-Boot Camp on Treehouse now! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Poll: How Hyped Are You For Nintendo's E3 Direct? https://t.co/ZJ2c0ND4qx #Repost #Poll #E3 #E32021 #NintendoSwitch #NintendoDirect https://t.co/Gg7Abvb3Oi
26469931,Advance Wars 1+2 Re-Boot Camp Reimagines The Classics On Switch https://t.co/b14HqLInRZ #E3 #E32021 #AdvanceWars #NintendoDirect #NintendoSwitch
26469931,A Zelda-themed Game and Watch system is being released for the series' anniversary https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Mario Golf: Super Rush is next up with the Treehouse https://t.co/LywfpDvvX0 #NintendoDirect
26469931,"Fatal Frame: Maiden Of Black Water Jumps From Wii U To Switch And, Surprisingly, Other Platforms https://t.co/dwysZ4QJvL #NintendoSwitch #UpcomingReleases #E32021 #NintendoDirect https://t.co/YwWKSJ1XhO"
26469931,Shin Megami Tensei V time! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,And now a look at Mario Golf https://t.co/LywfpDvvX0 #NintendoDirect
26469931,WarioWare: Get It Together Brings Mini-Game Mayhem To Switch In September https://t.co/HXdBjc46jp #NintendoSwitch #UpcomingReleases #E3 #NintendoDirect https://t.co/YEWLbBeqEh
26469931,Soapbox: The Zelda: Breath of The Wild 2 Trailer Is Already Spawning Theories https://t.co/BkjKJXXvwr #Zelda #NintendoDirect #E32021 #Soapbox #Features https://t.co/Y087hcNK1B
26469931,Advance Wars 1+2 Boot Camp is coming to Switch 3rd December! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,And now a look at Hyrule Warriors: Age of Calamity's expansion pass https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Mario Party Superstars is next up! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Mario Party Superstars Will Have You Partying Like It's 1999 https://t.co/901dMn4lFV #NintendoSwitch #NintendoDirect #E3 #E32021 https://t.co/pu33oBwxdk
26469931,Dragon Ball Z: Kakarot + A New Power Awakens Set Brings The Fight To Switch https://t.co/mR8EmWFt5J #NintendoDirect #E3 #E32021 #NintendoSwitch https://t.co/WuEFwsDzqn
26469931,Poll: What Did You Think Of Nintendo Direct At E3 2021? https://t.co/T6wracv2MD #Features #Poll #NintendoDirect #E3 #E32021 https://t.co/XL2MCA9hGV
26469931,Life Is Strange Remastered And Life Is Strange: True Colours Coming Later This Year https://t.co/mUy5idod2S #NintendoSwitch #UpcomingReleases #NintendoDirect #E32021 https://t.co/Nm9Bd9DVz2
26469931,Shin Megami Tensei V is launching exclusively on Switch on 5th November! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,More Metroid Dread next! https://t.co/LywfpDvvX0 #NintendoDirect
26469931,Fatal Frame: Maiden of Blackwaters makes the leap to Switch later this year https://t.co/LywfpDvvX0 #NintendoDirect
907320278795010048,Congrats to #NintendoDirect and #Bethesda all did good
467790374,"Looking for a Logo/Banner/Flyer/Poster/Book Cover/T-shirt/Website Designer???
Hi, This is SUBHAM.
Expert in Graphic Design.
DM Me To Get Your Work Done.
#GraphicDesigner #artist #BamBam_riBBon_1M #Pogba #MetroidDread #NintendoDirect #Ronaldo #E32021 #EURO2020 #Switch #Portugal https://t.co/SSBYstoJ7B"
4363820902,Fresh meme. Please enjoy. #e3 #nintendodirect #danteinsmash #smashbros https://t.co/1ZVyQ7QeEh
1250078503338475526,"Metroid Dread is real, and it’s coming to Nintendo Switch October 8th! The first 2D Metroid in nineteen years has us jazzed. What excited you from the Nintendo Direct? #E32021 #bebetter #metroiddread #nintendodirect #nintendoswitch https://t.co/CInYC7GKVB"
851666332198338560,"Sooo………

I guess we can all agree, Nintendo won #E32021 

#NintendoDirect"
92082021,"¡Atención #gamers!🕹️🎮😍😍😍

Nintendo anunció que en 2022 habrá un nuevo juego de Zelda (The Legend of Zelda: Breath of The Wild 2), pero no solo eso... Por el 35 Aniversario de Zelda, Nintendo lanzará este Game and Watch con 3 juegos clásicos de la saga.
#NintendoDirect #E32021 https://t.co/2fWj9klES2"
775163078874918912,I still think it was a mistake for someone to teach me photoshop. #NintendoDirect #MetroidDread #Fzero https://t.co/ZrI2d4srUW
747265476342984705,My homie @Sp0ntanius just dropped a GEM 💎 for #Nintendo and #Zelda fans. #NintendoE3 #NintendoDirect https://t.co/I0VdfEgZzh
908966676,En otras noticias Zelda breath of the wild y su DLC están en oferta en la eshop gringa 👀#NintendoDirect
908966676,"Everything ok with Zelda Breath of the wild 2, but what happens with the Zelda anniversary collection 😞 #NintendoDirect"
908966676,"Y salió el Metroid que se había filtrado jijjjj, espero se venga algo grande para el aniversario de Zelda  #NintendoDirect"
2671739222,"I thought the #NintendoDirect was just okay. It’s cool seeing a new #WarioWare, #MarioParty, #MetroidDread, and some more #BreathoftheWild 2 footage. There wasn’t a big “holy shit” moment besides Zelda which I’m fine with."
956756710730776576,Nintendo FAILED E3: Short E3 Recap https://t.co/pn7zWHKUt4 via @YouTube #E32021 #NintendoE3 #NintendoDirect #NintendoDirectE3 #MetroidDread #ZeldaBreathoftheWild2
29712872,"I'm just catching up on Nintendo news. So... Tekken in Smash, classic Mario Party, cooperative WarioWare,  2D Metroid, Zelda gameplay footage... Plus returns of Monkey Ball and Advance Wars plus more? That's all incredibly awesome stuff #NintendoDirect #NintendoE3  #E32021 #E3 https://t.co/1iAb85fShf"
29712872,AND we've got things that I haven't seen mentioned but are still coming out like multiple Pokémon games and Splatoon 3. So all in all Nintendo have got a lot of amazing stuff for all kinds of people to be excited about :) #NintendoDirect #NintendoE3 #E3 #E32021 https://t.co/lxkPH8bFty
29712872,The end of the Smash Bros trailer... #SmashBrosUltimate #SmashBros #KazuyaMishima #Kazuya #TEKKEN #Kirby #PeterPan #hashtags #NintendoSwitch #Nintendo #NintendoDirect #NintendoE3 #E3 #E32021 https://t.co/TZ566jC1O3
470707454,Finally was able to watch the #NintendoDirect today &amp; I was not disappointed. Lots of stuff we are excited about in this house. Looks like I got a few preorders to make and hopefully can get that #MetroidDread amiibo pack too. Still need the Skyward Sword amiibo preorder too
430998725,"Terminó el #NintendoDirect #NintendoTreehouse 
y me doy por servido con lo que mostraron. Mu bueno!!

#E32021 https://t.co/5I1eenURxF"
